Freq.	V(vo)
2.09411245585086e+000	(3.51341522142270e+001,1.79993002980862e+002)
2.09893988362349e+000	(3.51341522139337e+001,1.79992986851067e+002)
2.10377843976644e+000	(3.51341522136391e+001,1.79992970684089e+002)
2.10862814993326e+000	(3.51341522133431e+001,1.79992954479843e+002)
2.11348903983661e+000	(3.51341522130458e+001,1.79992938238241e+002)
2.11836113524847e+000	(3.51341522127471e+001,1.79992921959199e+002)
2.12324446200018e+000	(3.51341522124470e+001,1.79992905642630e+002)
2.12813904598268e+000	(3.51341522121455e+001,1.79992889288448e+002)
2.13304491314654e+000	(3.51341522118427e+001,1.79992872896565e+002)
2.13796208950220e+000	(3.51341522115384e+001,1.79992856466895e+002)
2.14289060112002e+000	(3.51341522112327e+001,1.79992839999351e+002)
2.14783047413050e+000	(3.51341522109256e+001,1.79992823493845e+002)
2.15278173472434e+000	(3.51341522106171e+001,1.79992806950290e+002)
2.15774440915263e+000	(3.51341522103072e+001,1.79992790368598e+002)
2.16271852372698e+000	(3.51341522099959e+001,1.79992773748681e+002)
2.16770410481966e+000	(3.51341522096831e+001,1.79992757090451e+002)
2.17270117886371e+000	(3.51341522093689e+001,1.79992740393821e+002)
2.17770977235312e+000	(3.51341522090532e+001,1.79992723658700e+002)
2.18272991184296e+000	(3.51341522087360e+001,1.79992706885001e+002)
2.18776162394952e+000	(3.51341522084174e+001,1.79992690072635e+002)
2.19280493535041e+000	(3.51341522080974e+001,1.79992673221512e+002)
2.19785987278479e+000	(3.51341522077758e+001,1.79992656331544e+002)
2.20292646305342e+000	(3.51341522074528e+001,1.79992639402640e+002)
2.20800473301886e+000	(3.51341522071282e+001,1.79992622434711e+002)
2.21309470960560e+000	(3.51341522068022e+001,1.79992605427667e+002)
2.21819641980018e+000	(3.51341522064747e+001,1.79992588381417e+002)
2.22330989065136e+000	(3.51341522061457e+001,1.79992571295872e+002)
2.22843514927026e+000	(3.51341522058151e+001,1.79992554170940e+002)
2.23357222283049e+000	(3.51341522054830e+001,1.79992537006532e+002)
2.23872113856830e+000	(3.51341522051494e+001,1.79992519802555e+002)
2.24388192378273e+000	(3.51341522048142e+001,1.79992502558920e+002)
2.24905460583574e+000	(3.51341522044775e+001,1.79992485275533e+002)
2.25423921215239e+000	(3.51341522041393e+001,1.79992467952304e+002)
2.25943577022094e+000	(3.51341522037994e+001,1.79992450589141e+002)
2.26464430759302e+000	(3.51341522034581e+001,1.79992433185952e+002)
2.26986485188378e+000	(3.51341522031151e+001,1.79992415742644e+002)
2.27509743077203e+000	(3.51341522027705e+001,1.79992398259126e+002)
2.28034207200038e+000	(3.51341522024244e+001,1.79992380735304e+002)
2.28559880337539e+000	(3.51341522020767e+001,1.79992363171085e+002)
2.29086765276773e+000	(3.51341522017273e+001,1.79992345566376e+002)
2.29614864811232e+000	(3.51341522013764e+001,1.79992327921084e+002)
2.30144181740847e+000	(3.51341522010238e+001,1.79992310235116e+002)
2.30674718872003e+000	(3.51341522006696e+001,1.79992292508377e+002)
2.31206479017555e+000	(3.51341522003138e+001,1.79992274740775e+002)
2.31739464996844e+000	(3.51341521999563e+001,1.79992256932213e+002)
2.32273679635706e+000	(3.51341521995972e+001,1.79992239082599e+002)
2.32809125766496e+000	(3.51341521992364e+001,1.79992221191836e+002)
2.33345806228096e+000	(3.51341521988739e+001,1.79992203259832e+002)
2.33883723865931e+000	(3.51341521985098e+001,1.79992185286490e+002)
2.34422881531988e+000	(3.51341521981440e+001,1.79992167271715e+002)
2.34963282084826e+000	(3.51341521977765e+001,1.79992149215412e+002)
2.35504928389597e+000	(3.51341521974073e+001,1.79992131117484e+002)
2.36047823318053e+000	(3.51341521970364e+001,1.79992112977837e+002)
2.36591969748571e+000	(3.51341521966638e+001,1.79992094796373e+002)
2.37137370566161e+000	(3.51341521962895e+001,1.79992076572997e+002)
2.37684028662483e+000	(3.51341521959134e+001,1.79992058307612e+002)
2.38231946935864e+000	(3.51341521955356e+001,1.79992040000120e+002)
2.38781128291313e+000	(3.51341521951561e+001,1.79992021650426e+002)
2.39331575640534e+000	(3.51341521947748e+001,1.79992003258431e+002)
2.39883291901944e+000	(3.51341521943918e+001,1.79991984824038e+002)
2.40436280000689e+000	(3.51341521940070e+001,1.79991966347149e+002)
2.40990542868655e+000	(3.51341521936204e+001,1.79991947827667e+002)
2.41546083444489e+000	(3.51341521932320e+001,1.79991929265493e+002)
2.42102904673613e+000	(3.51341521928418e+001,1.79991910660529e+002)
2.42661009508237e+000	(3.51341521924499e+001,1.79991892012675e+002)
2.43220400907377e+000	(3.51341521920561e+001,1.79991873321835e+002)
2.43781081836870e+000	(3.51341521916605e+001,1.79991854587907e+002)
2.44343055269392e+000	(3.51341521912631e+001,1.79991835810793e+002)
2.44906324184470e+000	(3.51341521908638e+001,1.79991816990393e+002)
2.45470891568498e+000	(3.51341521904627e+001,1.79991798126608e+002)
2.46036760414758e+000	(3.51341521900598e+001,1.79991779219338e+002)
2.46603933723429e+000	(3.51341521896550e+001,1.79991760268481e+002)
2.47172414501608e+000	(3.51341521892483e+001,1.79991741273939e+002)
2.47742205763324e+000	(3.51341521888397e+001,1.79991722235609e+002)
2.48313310529552e+000	(3.51341521884293e+001,1.79991703153392e+002)
2.48885731828234e+000	(3.51341521880170e+001,1.79991684027185e+002)
2.49459472694290e+000	(3.51341521876027e+001,1.79991664856888e+002)
